Connor McDavid,1836,64,89,89,40,352,0.42116013
David Pastrňák,1604,61,52,91,33,407,0.41973192
Nathan MacKinnon,1585,42,69,53,40,366,0.3862776
Jason Robertson,1545,46,63,57,19,313,0.37297734
Tage Thompson,1450,47,47,55,26,295,0.36327586
Auston Matthews,1501,40,45,78,92,327,0.36242504
Matthew Tkachuk,1614,40,69,68,31,322,0.35966542
Leon Draisaitl,1739,52,76,66,40,247,0.35767682
Brady Tkachuk,1528,35,48,242,9,347,0.35340314
Jack Hughes,1557,43,56,12,30,336,0.35163776
John Tavares,1413,36,44,112,36,277,0.33864118
Elias Pettersson,1644,39,63,74,89,257,0.33819951
Alex Ovechkin,1475,42,33,188,23,294,0.33457627
Nikita Kucherov,1651,30,83,61,28,271,0.33237431
Jamie Benn,1294,33,45,97,38,190,0.32592735
Mikko Rantanen,1822,55,50,77,41,306,0.32395718
William Nylander,1520,40,47,18,26,293,0.31907894
Roope Hintz,1282,37,38,47,45,184,0.31727769
Timo Meier,1512,40,26,154,37,327,0.31646825
Kirill Kaprizov,1415,40,35,66,28,261,0.31519434
Jeff Skinner,1374,35,47,21,14,242,0.31422852
Brayden Point,1613,51,44,37,37,235,0.31416615
Jared McCann,1291,40,30,65,28,210,0.31390395
Tyler Toffoli,1362,34,39,59,14,268,0.31259177
Jack Eichel,1257,27,39,59,56,223,0.31245027
Carter Verhaeghe,1418,42,31,29,31,275,0.31188293
Kevin Fiala,1214,23,49,53,18,208,0.31033772
Alex Tuch,1417,36,43,54,46,218,0.30804516
Steven Stamkos,1541,34,50,92,51,240,0.30597014
Mika Zibanejad,1637,39,52,71,48,251,0.30467318
Ryan Nugent-Hopkins,1624,37,67,48,26,201,0.30357142
Jordan Kyrou,1422,37,36,14,35,272,0.30344585
Filip Forsberg,874,19,23,86,20,157,0.30263157
Sidney Crosby,1652,33,60,71,47,255,0.30099878
Andrei Svechnikov,1155,23,32,140,17,205,0.29913419
Tim Stützle,1659,39,51,114,49,228,0.29867389
Travis Konecny,1207,31,30,55,38,191,0.29639602
Jake DeBrusk,1074,27,23,85,22,191,0.29632216
Zach Hyman,1592,36,47,77,19,276,0.29506909
Nico Hischier,1562,31,49,34,61,256,0.2903329
Joe Pavelski,1453,28,49,93,64,184,0.28922918
Evgeni Malkin,1524,27,56,53,33,240,0.28822178
Dylan Cozens,1336,31,37,55,30,211,0.28798652
J.T. Miller,1675,32,50,200,51,223,0.28716417
Patrik Laine,1052,22,30,27,27,184,0.28635931
Cole Caufield,830,26,10,18,12,158,0.28493975
Jason Zucker,1221,27,21,197,29,197,0.28398853
Aleksander Barkov,1443,23,55,52,48,208,0.28378378
Patrice Bergeron,1357,27,31,66,54,249,0.28187177
Adrian Kempe,1538,41,26,119,32,250,0.281697
Brock Nelson,1512,36,39,50,43,222,0.28042328
Jake Guentzel,1569,36,37,83,46,244,0.27963671
Mitch Marner,1702,30,69,53,45,196,0.27952408
Claude Giroux,1541,35,44,75,30,214,0.27920181
Pierre-Luc Dubois,1347,27,36,71,47,205,0.27709725
Andrei Kuzmenko,1316,39,35,13,18,143,0.27678571
Dylan Larkin,1564,32,47,47,27,244,0.27637468
Owen Tippett,1342,27,22,125,69,231,0.27477645
Jonathan Marchessault,1303,28,29,76,17,234,0.27436684
Jesper Bratt,1424,32,41,24,23,212,0.27422752
Viktor Arvidsson,1316,26,33,25,48,228,0.2737462
Artemi Panarin,1608,29,63,26,11,204,0.26958955
Sam Bennett,1097,16,24,150,35,193,0.26937101
